name,title,cites,year,lastUpdated
Murray Woodside,Fast scalable optimization to configure service systems having cost and quality of service constraints,54,2009,2020-10-15
F. Richard Yu,A new QoS provisioning method for adaptive multimedia in cellular wireless networks,54,2004,2020-10-15
Thomas Kunz,A survey on geographic routing protocols for mobile ad hoc networks,54,2011,2020-10-15
Thomas Kunz,A dynamic individualized location management algorithm,54,1997,2020-10-15
Andy Adler,Electrical impedance tomography can monitor dynamic hyperinflation in dogs,54,1998,2020-10-15
John Chinneck,Fast scalable optimization to configure service systems having cost and quality of service constraints,54,2009,2020-10-15
Marc St-Hilaire,Cloud-based smart waste management for smart cities,54,2016,2020-10-15
Amir Banihashemi,Overlapped chunked network coding,54,2010,2020-10-15
Yvan Labiche,A metamodeling approach to pattern specification,54,2006,2020-10-15
Sreeraman Rajan,Measurement of heart rate variability using an oscillometric blood pressure monitor,54,2010,2020-10-15
Marc St-Hilaire,A survey on geographic routing protocols for mobile ad hoc networks,54,2011,2020-10-15
Peter X. Liu,Modelling and stabilisation of networked control system with packet loss and time-varying delays,54,2010,2020-10-15
Dorina Petriu,Predicting high-risk preterm birth using artificial neural networks,54,2006,2020-10-15
Adrian D. C. Chan,A multi-modal approach for hand motion classification using surface EMG and accelerometers,54,2011,2020-10-15
Adrian D. C. Chan,Person identification using electrocardiograms,54,2006,2020-10-15
Ioannis Lambadaris,Cloud-based smart waste management for smart cities,54,2016,2020-10-15
Halim Yanikomeroglu,Efficient 3D aerial base station placement considering users mobility by reinforcement learning,54,2018,2020-10-15
Changcheng Huang,A path protection/restoration mechanism for MPLS networks,54,2000,2020-10-15
Halim Yanikomeroglu,Interference avoidance through dynamic downlink OFDMA subchannel allocation using intercell coordination,54,2008,2020-10-15
Ioannis Lambadaris,"Source routed forwarding with software defined control, considerations and implications",54,2012,2020-10-15
John Chinneck,MINOS (IIS): infeasibility analysis using MINOS,54,1994,2020-10-15
Chung-Horng Lung,Cloud-based smart waste management for smart cities,54,2016,2020-10-15
Yvan Labiche,Coverage-based test case prioritisation: An industrial case study,53,2013,2020-10-15
Peter X. Liu,Hammerstein model identification based on bacterial foraging,53,2006,2020-10-15
Amir Banihashemi,Bootstrap decoding of low-density parity-check codes,53,2002,2020-10-15
Mohamed Ibnkahla,"A household serosurvey to estimate the magnitude of a dengue outbreak in Mombasa, Kenya, 2013",53,2015,2020-10-15
Ramy H. Gohary,Design of linear dispersion codes: asymptotic guidelines and their implementation,53,2005,2020-10-15
Andy Adler,An improved method for muscle activation detection during gait,53,2004,2020-10-15
Andy Adler,Regional lung opening and closing pressures in patients with acute lung injury,53,2012,2020-10-15
Halim Yanikomeroglu,Threshold based relay selection in cooperative wireless networks,53,2008,2020-10-15
Mostafa Taha,Survey on threats and attacks on mobile networks,53,2016,2020-10-15
Halim Yanikomeroglu,Future of ultra-dense networks beyond 5G: Harnessing heterogeneous moving cells,53,2019,2020-10-15
Peter X. Liu,Design and implementation of a collaborative virtual haptic surgical training system,53,2005,2020-10-15
Dorina Petriu,Virtual theater for industrial training: A collaborative virtual environment,53,2000,2020-10-15
Rafik Goubran,Application of near-field optimum microphone arrays to hands-free mobile telephony,53,2003,2020-10-15
Yvan Labiche,Design Synthesis from Interaction and State Based Specifications,52,2006,2020-10-15
Amir Banihashemi,A differential binary message-passing LDPC decoder,52,2009,2020-10-15
Yvan Labiche,Automated support for deriving test requirements from UML statecharts,52,2005,2020-10-15
Yvan Labiche,"Automated, contract-based user testing of commercial-off-the-shelf components",52,2006,2020-10-15
Andy Adler,Evaluation of EIT system performance,52,2011,2020-10-15
Mohamed Ibnkahla,Cooperative cognitive radio networks: The complete spectrum cycle,52,2014,2020-10-15
Andy Adler,Electrical impedance tomography,52,1999,2020-10-15
Shikharesh Majumdar,Using analytic models predicting middleware performance,51,2000,2020-10-15
Thomas Kunz,A survey on smart home networking,51,2009,2020-10-15
Rafik Goubran,Nonlinear system identification using a subband adaptive Volterra filter,51,2009,2020-10-15
Chris Joslin,Victim and Perpetrator Groups' Responses to the C anadian Government's Apology for the Head Tax on C hinese Immigrants and the Moderating Influence of Collective Guilt,51,2013,2020-10-15
Roshdy H. M. Hafez,System and method for location tracking using wireless networks,51,2005,2020-10-15
Chung-Horng Lung,Victim and Perpetrator Groups' Responses to the C anadian Government's Apology for the Head Tax on C hinese Immigrants and the Moderating Influence of Collective Guilt,51,2013,2020-10-15
Dorina Petriu,Using analytic models predicting middleware performance,51,2000,2020-10-15
F. Richard Yu,A survey on compressed sensing in vehicular infotainment systems,51,2017,2020-10-15
Chung-Horng Lung,An approach to quantitative software architecture sensitivity analysis,51,2000,2020-10-15
Halim Yanikomeroglu,Transmission power control for link-level handshaking in wireless sensor networks,51,2015,2020-10-15
F. Richard Yu,Anti-eavesdropping schemes for interference alignment (IA)-based wireless networks,51,2016,2020-10-15
Adrian D. C. Chan,Using a metal oxide sensor (MOS)-based electronic nose for discrimination of bacteria based on individual colonies in suspension,51,2011,2020-10-15
F. Richard Yu,Energy-efficient M2M communications with mobile edge computing in virtualized cellular networks,51,2017,2020-10-15
Yvan Labiche,An orchestrated survey of available algorithms and tools for combinatorial testing,50,2014,2020-10-15
Adrian D. C. Chan,Fractal analysis of surface electromyography signals: a novel power spectrum-based method,50,2009,2020-10-15
Mohamed Ibnkahla,"Hepatitis E outbreak, Dadaab refugee camp, Kenya, 2012",50,2013,2020-10-15
Yvan Labiche,Towards automated support for deriving test data from UML statecharts,50,2003,2020-10-15
Thomas Kunz,Cooperative node localization using nonlinear data projection,50,2009,2020-10-15
Murray Woodside,Performance of multi-level client-server systems with parallel service operations,50,1998,2020-10-15
Dorina Petriu,Model-driven dependability assessment of software systems,50,2013,2020-10-15
Richard Dansereau,Fractal analysis of surface electromyography signals: a novel power spectrum-based method,50,2009,2020-10-15
Chung-Horng Lung,Analysis on mobile WiMAX security,50,2009,2020-10-15
Murray Woodside,Interaction tree algorithms to extract effective architecture and layered performance models from traces,50,2007,2020-10-15
Peter X. Liu,All-pass filtering in iterative learning control,50,2009,2020-10-15
